#{"t_start": 1642710841.3021045, "env_id": null}
r,l,t
250,12,0.343719
490,12,0.546829
650,12,0.718695
470,12,0.874932
330,12,1.10929
340,12,1.312401
430,12,1.482802
370,12,1.685912
220,12,1.842151
350,12,2.060885
210,12,2.232746
330,12,2.420232
240,12,2.717086
180,12,2.904575
460,12,3.076435
240,12,3.248298
350,12,3.45141
480,12,3.654523
410,12,3.826388
540,12,4.014273
420,12,4.201761
330,12,4.420493
490,12,4.607981
440,12,4.811089
340,12,4.998712
410,12,5.201822
470,12,5.358066
620,12,5.576796
390,12,5.764279
330,12,5.983015
400,12,6.170506
270,12,6.357995
390,12,6.545473
500,12,6.764208
250,12,6.952021
430,12,7.139508
550,12,7.358242
460,12,7.576974
180,12,7.764462
410,12,7.936477
210,12,8.123962
320,12,17.517507
230,12,17.736236
360,12,17.955362
280,12,18.142849
480,12,18.392831
430,12,18.611566
540,12,18.783429
520,12,19.002321
320,12,19.236678
390,12,19.424173
360,12,19.627275
510,12,19.830382
370,12,20.082143
430,12,20.254006
490,12,20.488363
420,12,20.72272
530,12,21.082075
290,12,21.285179
350,12,21.472668
380,12,21.660152
250,12,21.926063
400,12,22.118269
450,12,22.305754
400,12,22.493242
490,12,22.711977
380,12,22.930708
180,12,23.118199
340,12,23.321305
440,12,23.555663
430,12,23.758774
460,12,23.96215
330,12,24.165258
560,12,24.415244
560,12,24.665222
310,12,24.852708
380,12,25.040338
220,12,25.290318
480,12,25.477804
280,12,25.680916
370,12,25.884201
360,12,26.118557
570,12,26.321668
640,12,36.025928
450,12,36.260281
470,12,36.447767
340,12,36.635259
410,12,36.838368
180,12,37.043823
210,12,37.293801
440,12,37.512534
460,12,37.700021
360,12,37.887513
270,12,38.137492
480,12,38.32498
200,12,38.512462
360,12,38.731195
390,12,38.965841
320,12,39.168952
440,12,39.372063
340,12,39.575173
570,12,39.840776
410,12,40.028263
540,12,40.215753
450,12,40.434484
310,12,40.668841
430,12,40.9032
500,12,41.090686
240,12,41.293797
300,12,41.543779
390,12,41.731263
310,12,41.950457
340,12,42.153569
310,12,42.40355
410,12,42.627007
480,12,42.824571
360,12,43.096034
400,12,43.330391
320,12,43.533503
310,12,43.752236
470,12,43.955349
390,12,44.189705
350,12,44.40844
450,12,44.61155
390,12,44.799034
340,12,54.859142
300,12,55.093942
160,12,55.28143
320,12,55.484547
340,12,55.750144
510,12,55.984664
480,12,56.203396
420,12,56.406505
350,12,56.656489
410,12,56.859603
330,12,57.062845
430,12,57.281582
380,12,57.515937
250,12,57.719052
390,12,57.940043
340,12,58.127534
110,12,58.393135
310,12,58.611869
510,12,58.830607
600,12,59.049541
390,12,59.299527
560,12,59.51826
120,12,59.72137
320,12,59.924641
270,12,60.174624
270,12,60.377733
520,12,60.596469
380,12,60.79958
420,12,61.033936
510,12,61.252671
260,12,61.440158
310,12,61.643266
380,12,61.893629
330,12,62.112365
380,12,62.346724
480,12,62.565458
540,12,62.799815
230,12,63.002932
550,12,63.206037
290,12,63.397859
550,12,63.64784
380,12,75.659196
580,12,75.909178
490,12,76.127911
370,12,76.377894
320,12,76.596627
330,12,76.877857
210,12,77.096983
510,12,77.37821
600,12,77.589463
380,12,77.808201
260,12,78.042558
250,12,78.276917
510,12,78.512486
440,12,78.699975
490,12,78.903083
280,12,79.184311
350,12,79.387424
310,12,79.590533
370,12,79.809268
420,12,80.205471
490,12,80.631921
390,12,80.928139
390,12,81.162498
310,12,81.534445
370,12,81.990264
200,12,82.423373
300,12,82.873686
370,12,83.390245
380,12,83.739894
370,12,84.030015
440,12,84.259328
580,12,84.644978
260,12,84.848092
510,12,85.07342
310,12,85.278678
190,12,85.647485
620,12,85.860816
330,12,86.163642
550,12,86.408298
450,12,86.646139
620,12,86.880499
320,12,87.099225
400,12,98.8808
450,12,99.14211
280,12,99.390966
570,12,99.656976
370,12,99.9618
410,12,100.221995
250,12,100.422488
560,12,100.690731
280,12,100.92365
270,12,101.174209
520,12,101.613913
50,12,102.20014
110,12,102.509388
490,12,102.837197
490,12,103.058324
610,12,103.326222
470,12,103.571477
520,12,103.830341
340,12,104.049185
520,12,104.252293
300,12,104.471028
470,12,104.86552
490,12,105.126372
330,12,105.499187
420,12,106.149351
570,12,106.419991
370,12,106.616247
410,12,106.878098
360,12,107.24288
470,12,107.461614
580,12,107.692522
390,12,107.911256
190,12,108.17511
650,12,108.435744
370,12,108.658963
580,12,108.916463
470,12,109.172606
400,12,109.426054
290,12,109.754153
460,12,109.957265
370,12,110.194847
350,12,110.513989
310,12,123.355588
480,12,123.657668
190,12,123.876401
180,12,124.188878
380,12,124.407614
300,12,124.962131
340,12,125.385129
410,12,125.657631
490,12,125.89659
330,12,126.125645
300,12,126.328753
110,12,126.610745
360,12,127.001018
500,12,127.382627
530,12,127.836296
540,12,128.143203
220,12,128.489646
360,12,128.940525
540,12,129.272229
460,12,129.522212
310,12,129.824044
510,12,130.106976
350,12,130.456101
180,12,130.831531
500,12,131.030501
290,12,131.264859
200,12,131.551751
380,12,131.990546
610,12,132.335298
200,12,132.538409
270,12,132.958653
330,12,133.687405
470,12,134.315043
600,12,134.902707
230,12,135.466381
310,12,135.820177
290,12,136.14007
460,12,136.353697
390,12,136.606977
430,12,136.872583
400,12,137.091321
520,12,147.981364
430,12,148.246971
390,12,148.481464
330,12,148.73145
550,12,148.934557
370,12,149.168916
380,12,149.419051
280,12,149.684656
470,12,149.903389
590,12,150.122124
470,12,150.403517
420,12,150.622252
620,12,150.825363
390,12,151.044098
290,12,151.278457
360,12,151.512966
430,12,151.731701
420,12,151.934809
330,12,152.16917
300,12,152.37228
380,12,152.591162
580,12,152.825613
570,12,153.075594
370,12,153.294331
530,12,153.497518
430,12,153.856869
460,12,154.05998
580,12,154.278713
580,12,154.497603
150,12,154.731961
320,12,154.981942
360,12,155.216299
340,12,155.403926
340,12,155.638283
390,12,155.872641
410,12,156.091375
280,12,156.310109
410,12,156.513379
390,12,156.763358
470,12,156.982092
380,12,157.200827
530,12,157.404083
480,12,170.283213
380,12,170.830899
220,12,171.189691
300,12,171.605451
240,12,172.036203
370,12,172.490942
570,12,172.922693
400,12,173.497361
-10,12,174.020061
330,12,174.543759
470,12,175.207378
400,12,175.733074
410,12,176.143838
220,12,176.5566
230,12,176.949736
510,12,177.335512
400,12,177.745277
460,12,178.120062
330,12,178.50184
300,12,178.943587
290,12,179.365335
330,12,179.940982
340,12,180.235452
410,12,180.461535
350,12,180.731088
430,12,180.965444
430,12,181.215427
240,12,181.434164
370,12,181.793511
480,12,182.027869
590,12,182.246601
290,12,182.480961
210,12,182.753073
220,12,182.98743
330,12,183.374563
460,12,183.830874
510,12,184.062984
440,12,184.30059
470,12,184.503703
420,12,184.756067
420,12,184.990429
440,12,185.240407
450,12,196.143399
470,12,196.362132
580,12,196.612257
640,12,196.830996
500,12,197.080981
440,12,197.347185
570,12,197.579033
500,12,197.813546
510,12,198.016658
330,12,198.235392
490,12,198.485373
530,12,198.752308
340,12,198.960882
410,12,199.163996
430,12,199.429599
500,12,199.67958
500,12,199.898317
470,12,200.132673
260,12,200.367033
540,12,200.740833
530,12,200.94394
440,12,201.191158
620,12,201.456761
210,12,201.725055
260,12,201.919682
450,12,202.138414
520,12,202.372773
350,12,202.591505
410,12,202.825865
360,12,203.044599
670,12,203.310202
380,12,203.528938
450,12,203.779138
350,12,203.997872
270,12,204.23223
430,12,204.482211
270,12,204.701083
360,12,204.919819
270,12,205.169804
250,12,205.388537
370,12,205.631126
280,12,216.555869
330,12,216.805851
320,12,217.024586
440,12,217.227697
330,12,217.462054
330,12,217.712235
370,12,217.946596
210,12,218.149704
590,12,218.368437
370,12,218.634042
540,12,218.837296
240,12,219.071652
280,12,219.306011
370,12,219.665364
360,12,219.884233
450,12,220.071721
370,12,220.30608
270,12,220.556059
440,12,220.791172
380,12,221.009908
350,12,221.21302
290,12,221.463005
510,12,221.697358
490,12,221.916094
590,12,222.134837
350,12,222.384808
420,12,222.634791
570,12,222.83811
450,12,223.072468
490,12,223.322451
490,12,223.603682
370,12,223.822577
200,12,224.041307
120,12,224.306914
340,12,224.494399
460,12,224.713276
400,12,224.947635
320,12,225.21324
390,12,225.41635
290,12,225.61946
440,12,225.86959
250,12,226.11957
500,12,236.793947
220,12,237.028306
450,12,237.262664
270,12,237.52827
410,12,237.793875
560,12,237.996986
360,12,238.395016
590,12,238.619055
630,12,238.958337
320,12,239.288655
490,12,239.611025
540,12,239.849279
340,12,240.068016
310,12,240.342963
410,12,240.599563
500,12,240.92098
490,12,241.507672
490,12,242.548079
510,12,243.190694
310,12,243.440082
390,12,243.716267
370,12,244.105149
370,12,244.823736
460,12,245.45837
360,12,246.13698
270,12,246.718645
270,12,247.325293
240,12,247.874979
550,12,248.268508
430,12,248.648627
500,12,249.017613
230,12,249.366538
440,12,249.609944
630,12,249.881971
320,12,250.093502
290,12,250.365559
310,12,250.610338
500,12,250.847867
410,12,251.048117
360,12,251.366095
390,12,251.594213
500,12,251.82143
310,12,264.581802
510,12,264.831784
470,12,265.050914
450,12,265.316517
460,12,265.550877
570,12,265.83211
250,12,266.045732
210,12,266.264467
370,12,266.529303
430,12,266.789218
370,12,267.039077
410,12,267.345929
380,12,267.580158
490,12,267.830142
480,12,268.033252
370,12,268.276741
420,12,268.504561
390,12,268.785789
480,12,268.973278
450,12,269.207634
380,12,269.504486
270,12,269.738846
290,12,269.957581
600,12,270.176503
280,12,270.395237
350,12,270.660844
580,12,270.863952
670,12,271.157561
510,12,271.400635
440,12,271.7845
350,12,272.041116
440,12,272.298309
350,12,272.519078
310,12,272.877455
400,12,273.098058
400,12,273.357084
440,12,273.575822
530,12,273.825799
470,12,274.060163
400,12,274.372636
270,12,274.591367
510,12,290.298758
680,12,290.571504
370,12,291.002082
520,12,291.233086
560,12,291.474296
350,12,291.88268
450,12,292.101412
390,12,292.35598
450,12,292.621586
410,12,292.840318
450,12,293.059054
550,12,293.293613
360,12,293.543595
380,12,293.777953
350,12,293.981066
300,12,294.231202
290,12,294.481183
280,12,294.715543
470,12,294.918653
420,12,295.137389
700,12,295.40316
280,12,295.60627
360,12,295.825003
580,12,296.028116
410,12,296.293898
290,12,296.512633
250,12,296.74699
600,12,296.965728
340,12,297.231492
430,12,297.46585
500,12,297.685405
380,12,297.904139
290,12,298.15412
290,12,298.372855
320,12,298.607213
410,12,298.857192
540,12,299.122799
440,12,299.41987
400,12,299.638606
630,12,299.841715
430,12,300.091696
510,12,300.326216
130,12,311.234674
610,12,311.500283
270,12,311.719013
350,12,311.922124
600,12,312.14086
500,12,312.391142
450,12,312.656747
270,12,312.875481
450,12,313.094216
350,12,313.297479
350,12,313.547461
450,12,313.766196
450,12,313.98493
330,12,314.219469
410,12,314.469455
500,12,314.688186
280,12,314.891297
220,12,315.235022
460,12,315.453753
290,12,315.688112
350,12,315.891224
310,12,316.313437
340,12,316.552606
410,12,316.760741
370,12,317.056222
620,12,317.32534
500,12,317.590314
600,12,317.907678
560,12,318.225803
220,12,318.446987
370,12,318.728216
400,12,318.946953
500,12,319.165684
360,12,319.400042
350,12,319.681271
290,12,319.936369
320,12,320.333165
380,12,320.581838
330,12,320.981435
380,12,321.234848
230,12,321.467908
290,12,321.881814
430,12,332.594512
410,12,332.900906
580,12,333.113333
340,12,333.316442
290,12,333.62017
290,12,333.821365
220,12,334.055723
260,12,334.258832
560,12,334.540064
330,12,334.743173
250,12,334.946281
500,12,335.196263
340,12,335.430861
520,12,335.649594
250,12,335.883953
470,12,336.092261
410,12,336.388126
290,12,336.591237
300,12,336.824989
420,12,337.04999
190,12,337.320295
260,12,337.547997
270,12,337.782944
190,12,338.012617
450,12,338.258842
290,12,338.447252
360,12,338.681612
370,12,338.884721
320,12,339.134705
430,12,339.353437
290,12,339.572172
360,12,339.806528
330,12,340.072134
470,12,340.306493
520,12,340.494179
590,12,340.744161
320,12,340.978519
330,12,341.275378
270,12,341.494294
530,12,341.713025
460,12,342.009883
300,12,354.282756
240,12,355.064305
380,12,356.234632
120,12,356.833287
400,12,357.501511
540,12,357.911546
540,12,358.165616
350,12,358.419963
690,12,358.664782
180,12,358.902025
340,12,359.147328
450,12,359.402642
240,12,359.648689
520,12,359.878139
230,12,360.107806
210,12,360.386454
340,12,360.600175
330,12,360.844922
250,12,361.068069
420,12,361.312739
520,12,361.577624
310,12,361.854461
470,12,362.119678
510,12,362.359176
290,12,362.57495
280,12,362.803081
620,12,363.031633
630,12,363.288808
270,12,363.553812
400,12,363.77048
410,12,364.014318
370,12,364.329942
310,12,364.53963
580,12,364.800161
440,12,365.03889
230,12,365.268113
450,12,365.522304
280,12,365.751582
550,12,366.006094
390,12,366.250821
420,12,366.473992
310,12,366.718822
550,12,377.380308
270,12,377.628093
370,12,377.837756
440,12,378.061919
520,12,378.290062
80,12,378.545517
370,12,378.790309
80,12,379.013349
500,12,379.228909
400,12,379.502309
250,12,379.740882
360,12,379.939835
360,12,380.195276
300,12,380.40888
460,12,380.678869
460,12,380.892454
340,12,381.089389
460,12,381.362229
380,12,381.614676
310,12,381.923977
520,12,382.207706
360,12,382.478632
390,12,382.744967
150,12,383.102594
350,12,383.305703
360,12,383.582324
330,12,383.796008
290,12,384.029182
440,12,384.263898
380,12,384.534789
490,12,384.763089
600,12,384.976755
350,12,385.199823
440,12,385.429068
480,12,385.676627
280,12,385.881403
200,12,386.09999
390,12,386.3806
290,12,386.600984
450,12,386.83554
490,12,387.04664
280,12,387.275511
360,12,402.194313
420,12,402.451745
340,12,402.853064
530,12,403.086701
450,12,403.305436
340,12,403.555435
620,12,403.774158
490,12,404.055381
320,12,404.35546
460,12,404.594633
250,12,404.858477
650,12,405.106525
390,12,405.356507
480,12,405.606369
680,12,405.956419
370,12,406.375627
140,12,406.610364
400,12,406.829099
500,12,407.280105
610,12,407.637702
190,12,407.931476
460,12,408.401787
440,12,408.635386
370,12,408.895779
370,12,409.114514
510,12,409.592959
490,12,410.122978
680,12,410.404756
450,12,410.757797
490,12,411.107174
430,12,411.388607
60,12,411.774177
530,12,412.026521
550,12,412.265434
580,12,412.552431
500,12,412.856771
670,12,413.310291
440,12,413.619875
490,12,414.022058
490,12,414.274488
420,12,414.520398
580,12,425.810109
290,12,426.075719
300,12,426.417523
510,12,426.768593
270,12,427.009931
290,12,427.244291
380,12,427.478648
510,12,427.697385
440,12,427.947647
460,12,428.166381
210,12,428.431987
400,12,428.671674
280,12,428.968531
480,12,429.171639
480,12,429.437243
560,12,429.702851
580,12,429.921914
370,12,430.140648
330,12,430.506334
430,12,430.948205
310,12,431.168306
400,12,431.418282
340,12,431.668262
270,12,431.905943
600,12,432.266613
320,12,432.517933
340,12,432.767915
340,12,433.002272
390,12,433.236629
340,12,433.576705
270,12,433.845361
540,12,434.128672
440,12,434.432148
420,12,434.666815
430,12,434.932422
190,12,435.135533
300,12,435.3554
440,12,435.605379
350,12,435.870986
380,12,436.089724
620,12,436.32408
240,12,436.527191
300,12,449.07679
510,12,449.377046
500,12,449.626467
360,12,449.845195
