#{"t_start": 1642701084.0638666, "env_id": null}
r,l,t
100,12,0.124993
520,12,0.265609
520,12,0.390617
320,12,0.515591
220,12,0.640601
360,12,0.796817
410,12,0.937456
530,12,1.062449
110,12,1.203043
110,12,1.328052
300,12,1.468647
330,12,1.593643
250,12,1.718632
440,12,1.85957
490,12,2.000182
310,12,2.125194
190,12,2.265809
250,12,2.39078
500,12,2.547031
340,12,2.656405
360,12,2.797017
450,12,2.937612
360,12,3.078249
280,12,3.203235
300,12,3.328231
270,12,3.453202
400,12,3.593833
370,12,3.718825
340,12,3.875339
270,12,4.015952
330,12,4.140946
210,12,4.281581
540,12,4.406569
300,12,4.56281
320,12,4.703422
360,12,4.812792
630,12,5.047147
340,12,5.203385
460,12,5.312756
260,12,5.453348
450,12,5.593982
380,12,13.049101
150,12,13.189694
230,12,13.345953
390,12,13.47094
350,12,13.611553
480,12,13.752427
160,12,13.893061
440,12,14.049303
240,12,14.189902
380,12,14.346145
410,12,14.471131
450,12,14.611765
200,12,14.768001
650,12,14.971108
410,12,15.127344
420,12,15.267946
340,12,15.455446
330,12,15.596061
420,12,15.736681
440,12,15.877572
370,12,16.049455
470,12,16.190068
500,12,16.377559
260,12,16.50253
340,12,16.674389
640,12,16.81516
50,12,16.940156
570,12,17.097219
280,12,17.331565
460,12,17.456553
210,12,17.581548
520,12,17.722142
360,12,17.878395
490,12,18.019011
370,12,18.159626
360,12,18.300225
120,12,18.440855
390,12,18.581457
350,12,18.706448
310,12,18.847296
300,12,19.003549
310,12,19.159789
290,12,27.588157
360,12,27.713158
340,12,27.87025
660,12,28.010862
590,12,28.15148
530,12,28.27647
360,12,28.432707
410,12,28.604552
360,12,28.745188
340,12,28.885957
300,12,29.04218
450,12,29.198436
360,12,29.354676
380,12,29.495275
630,12,29.651527
420,12,29.823591
500,12,29.979846
470,12,30.229832
290,12,30.370426
250,12,30.511043
300,12,30.651656
420,12,30.823662
460,12,30.979914
280,12,31.13615
440,12,31.24552
390,12,31.401761
330,12,31.557997
270,12,31.714223
360,12,31.870648
480,12,32.026867
480,12,32.183104
550,12,32.339358
410,12,32.479973
230,12,32.620592
410,12,32.776824
430,12,32.933067
510,12,33.058056
440,12,33.19867
420,12,33.33927
200,12,33.511151
370,12,33.651763
360,12,33.79265
350,12,42.970098
410,12,43.14196
560,12,43.345094
530,12,43.470067
140,12,43.641942
360,12,43.829415
460,12,43.970876
270,12,44.111492
140,12,44.267734
610,12,44.423985
500,12,44.564601
400,12,44.689576
320,12,44.877255
440,12,45.017858
420,12,45.174096
570,12,45.314723
550,12,45.486588
450,12,45.642821
190,12,45.876486
320,12,46.032752
630,12,46.188972
370,12,46.329604
240,12,46.470221
430,12,46.626442
470,12,46.798318
380,12,46.955612
380,12,47.174328
450,12,47.346189
310,12,47.518054
410,12,47.689935
490,12,47.845869
360,12,47.96384
260,12,48.120064
360,12,48.276304
500,12,48.432541
200,12,48.573173
630,12,48.729395
300,12,48.901273
440,12,49.041877
250,12,49.276249
380,12,49.448094
470,12,57.370905
340,12,57.495912
530,12,57.667761
190,12,57.839631
480,12,57.964794
300,12,58.105475
250,12,58.242426
510,12,58.39868
360,12,58.539297
460,12,58.679894
230,12,58.851773
230,12,59.007998
310,12,59.148626
360,12,59.289226
300,12,59.44548
210,12,59.681883
480,12,59.853764
420,12,60.009988
480,12,60.15062
370,12,60.306855
420,12,60.478719
330,12,60.603712
400,12,60.744313
270,12,60.900787
410,12,61.072651
390,12,61.21328
550,12,61.353896
440,12,61.494508
320,12,61.650749
450,12,61.806987
230,12,61.947757
390,12,62.103996
290,12,62.260236
270,12,62.416461
300,12,62.557076
440,12,62.728951
290,12,62.869716
670,12,63.010352
340,12,63.15095
360,12,63.322814
440,12,63.463453
440,12,63.619682
170,12,71.541981
390,12,71.698217
530,12,71.870094
510,12,72.026471
320,12,72.167106
220,12,72.307714
260,12,72.448329
520,12,72.588945
370,12,72.745189
300,12,72.917058
480,12,73.073286
570,12,73.213885
170,12,73.370136
230,12,73.510757
150,12,73.651355
440,12,73.818915
350,12,73.942194
480,12,74.114039
250,12,74.254671
240,12,74.410909
260,12,74.551523
180,12,74.707744
550,12,74.863983
550,12,75.05173
390,12,75.223593
370,12,75.386841
430,12,75.527474
410,12,75.746197
480,12,75.886823
440,12,76.05867
390,12,76.199301
230,12,76.324292
290,12,76.464906
480,12,76.636764
270,12,76.793005
480,12,76.933882
430,12,77.090122
130,12,77.261985
330,12,77.402586
360,12,77.621335
330,12,77.77757
470,12,77.918313
490,12,85.972857
240,12,86.11347
460,12,86.285319
580,12,86.535317
410,12,86.660293
520,12,86.80092
260,12,86.941714
200,12,87.097947
480,12,87.254188
450,12,87.394802
410,12,87.535403
380,12,87.722902
500,12,87.87914
530,12,88.019898
330,12,88.160532
350,12,88.301143
330,12,88.457385
440,12,88.597998
380,12,88.769845
510,12,88.94186
400,12,89.082494
330,12,89.238734
360,12,89.379347
230,12,89.535583
440,12,89.691806
310,12,89.863667
460,12,90.004466
500,12,90.145076
410,12,90.301302
670,12,90.457556
410,12,90.598171
540,12,90.81689
420,12,90.973272
310,12,91.145133
210,12,91.270141
450,12,91.457628
310,12,91.613848
470,12,91.754481
670,12,91.910855
400,12,92.082737
310,12,92.238961
340,12,100.046725
320,12,100.202963
270,12,100.390431
410,12,100.515441
230,12,100.656053
550,12,100.827903
470,12,100.999765
480,12,101.156003
280,12,101.296632
700,12,101.452858
490,12,101.609097
300,12,101.765348
390,12,101.905947
580,12,102.078328
300,12,102.234548
510,12,102.375179
280,12,102.5314
360,12,102.687657
440,12,102.84388
240,12,102.984672
490,12,103.156518
450,12,103.297151
340,12,103.437749
240,12,103.609631
190,12,103.765853
300,12,103.922233
380,12,104.078475
300,12,104.219109
440,12,104.375347
420,12,104.531585
380,12,104.765924
390,12,105.028449
530,12,105.153435
200,12,105.294053
480,12,105.465899
290,12,105.606513
340,12,105.747143
310,12,105.887762
410,12,106.05962
390,12,106.215844
350,12,106.356475
440,12,106.512714
620,12,114.748019
130,12,114.919856
450,12,115.076243
370,12,115.201235
340,12,115.373079
520,12,115.529337
370,12,115.685559
440,12,115.888693
580,12,116.091779
270,12,116.26364
310,12,116.388648
140,12,116.544876
230,12,116.701111
460,12,116.841782
340,12,116.98317
550,12,117.139409
380,12,117.311268
80,12,117.436276
320,12,117.608125
300,12,117.748753
480,12,117.889352
270,12,118.06123
400,12,118.217471
300,12,118.342462
100,12,118.498698
570,12,118.670548
400,12,118.826799
520,12,118.967696
350,12,119.123933
400,12,119.295799
260,12,119.458873
450,12,119.634867
570,12,119.806731
590,12,119.962974
340,12,120.103601
440,12,120.244215
130,12,120.431702
250,12,120.587943
330,12,120.728557
220,12,120.884794
390,12,121.057021
520,12,121.275773
380,12,129.153508
410,12,129.32537
300,12,129.497216
400,12,129.637847
250,12,129.794067
570,12,129.950444
350,12,130.122324
210,12,130.247318
330,12,130.403539
250,12,130.559794
260,12,130.700393
480,12,130.85665
300,12,130.997427
550,12,131.138044
250,12,131.30989
460,12,131.481768
430,12,131.606758
350,12,131.747372
520,12,131.934842
220,12,132.075617
490,12,132.231843
380,12,132.388092
480,12,132.544314
440,12,132.700554
250,12,132.841187
390,12,132.997554
430,12,133.185056
260,12,133.341296
400,12,133.513143
500,12,133.809994
300,12,134.16485
540,12,134.312593
400,12,134.484454
590,12,134.640706
430,12,134.812568
460,12,134.984415
80,12,135.125047
310,12,135.265661
380,12,135.431593
460,12,135.587847
430,12,135.728447
540,12,143.963614
470,12,144.10425
320,12,144.276096
420,12,144.432338
520,12,144.572954
350,12,144.776059
400,12,144.932315
350,12,145.073073
580,12,145.213689
80,12,145.354301
480,12,145.526165
240,12,145.666765
480,12,145.823018
360,12,145.995043
440,12,146.135643
340,12,146.291894
420,12,146.416885
210,12,146.587964
480,12,146.728581
430,12,146.88482
140,12,147.026384
430,12,147.198246
300,12,147.338845
270,12,147.495083
500,12,147.65134
440,12,147.838825
330,12,147.963923
490,12,148.104559
190,12,148.260798
460,12,148.417039
320,12,148.557652
550,12,148.698269
400,12,148.870128
370,12,149.026505
400,12,149.167119
530,12,149.338968
310,12,149.495204
220,12,149.651461
230,12,149.807699
290,12,149.964056
350,12,150.104675
580,12,150.260915
400,12,158.339607
580,12,158.48022
270,12,158.636464
330,12,158.82393
410,12,158.964704
510,12,159.105341
280,12,159.261562
370,12,159.43344
330,12,159.574056
400,12,159.730294
290,12,159.886532
300,12,160.04293
230,12,160.183547
450,12,160.324163
570,12,160.480401
40,12,160.636638
340,12,160.854894
480,12,161.011731
490,12,161.152363
490,12,161.308602
460,12,161.480462
280,12,161.621078
420,12,161.746069
490,12,161.917917
350,12,162.089952
440,12,162.230564
500,12,162.386803
420,12,162.54303
430,12,162.699283
400,12,162.855521
330,12,162.996137
410,12,163.167982
290,12,163.339849
180,12,163.480475
410,12,163.621073
560,12,163.824184
440,12,163.94919
420,12,164.105736
510,12,164.26198
260,12,164.418203
460,12,164.574455
200,12,164.715072
340,12,176.9127
300,12,177.068939
480,12,177.240799
620,12,177.381417
380,12,177.522031
540,12,177.678252
500,12,177.850131
320,12,178.006371
420,12,178.131975
540,12,178.319475
580,12,178.475705
340,12,178.616333
520,12,178.77257
260,12,178.960057
230,12,179.116431
360,12,179.257044
480,12,179.397647
500,12,179.585125
450,12,179.741385
600,12,179.881996
400,12,180.038382
580,12,180.210241
380,12,180.428974
460,12,180.569591
280,12,180.710207
360,12,180.866444
380,12,181.038507
490,12,181.195936
290,12,181.336561
550,12,181.492785
320,12,181.664661
200,12,181.820888
530,12,181.945882
400,12,182.102132
290,12,182.273992
400,12,182.430217
440,12,182.586473
510,12,182.742692
420,12,182.914572
490,12,183.055415
250,12,183.196033
210,12,191.38431
140,12,191.524925
610,12,191.728034
500,12,191.868653
400,12,192.024889
150,12,192.181586
380,12,192.3222
350,12,192.478422
480,12,192.650284
140,12,192.822148
370,12,192.978387
130,12,193.103538
350,12,193.259777
600,12,193.431639
430,12,193.572255
210,12,193.712869
340,12,193.884713
430,12,194.041083
330,12,194.21295
180,12,194.33796
360,12,194.509801
550,12,194.666058
520,12,194.826185
370,12,194.955824
380,12,195.127687
360,12,195.283926
310,12,195.408905
240,12,195.580782
360,12,195.752627
320,12,195.955764
100,12,196.127872
360,12,196.315358
240,12,196.54971
310,12,196.690332
510,12,196.862204
310,12,197.065476
300,12,197.237319
390,12,197.377953
460,12,197.549814
450,12,197.674804
450,12,197.877903
410,12,198.018518
