,ProactivityStrategy,#Duration,#Points,#HelpRequest,#SuggestionRequest,mean_Trust,last_Trust
125,only_none,508.0,170,0,6,3.0833333333333335,4
126,only_none,461.0,150,2,8,3.1666666666666665,4
127,only_none,637.0,170,1,8,3.25,4
128,only_none,522.0,150,2,7,2.8333333333333335,3
129,only_none,582.0,180,0,7,4.833333333333333,5
130,only_none,485.0,180,2,8,3.4166666666666665,4
131,only_none,611.0,140,0,7,3.3333333333333335,4
132,only_none,458.0,130,1,8,4.083333333333333,4
133,only_none,482.0,170,2,7,3.0833333333333335,3
134,only_none,389.0,140,0,6,3.8333333333333335,4
135,only_none,444.0,160,2,8,3.0,4
136,only_none,411.0,140,1,10,3.9166666666666665,4
137,only_none,536.0,160,0,6,3.4166666666666665,3
138,only_none,552.0,170,1,11,3.0,3
139,only_none,498.0,150,1,5,3.0833333333333335,3
140,only_none,705.0,160,1,7,2.9166666666666665,2
141,only_none,509.0,150,0,7,3.1666666666666665,3
142,only_none,537.0,170,1,8,3.25,4
143,only_none,629.0,120,1,6,3.6666666666666665,3
144,only_none,488.0,150,0,8,3.5,4
145,only_none,503.0,130,0,7,3.0,3
146,only_none,535.0,120,2,10,2.3333333333333335,2
147,only_none,433.0,160,1,7,3.1666666666666665,3
148,only_none,523.0,170,0,9,3.3333333333333335,4
149,only_none,666.0,160,3,6,3.8333333333333335,4
150,only_none,465.0,130,1,7,2.4166666666666665,2
151,only_none,482.0,150,0,9,3.3333333333333335,4
152,only_none,510.0,130,2,9,3.6666666666666665,4
153,only_none,551.0,140,0,7,2.6666666666666665,2
154,only_none,502.0,160,3,7,3.1666666666666665,3
155,only_none,480.0,150,0,12,3.1666666666666665,4
156,only_none,441.0,130,1,7,2.0833333333333335,2
157,only_none,481.0,180,1,9,3.6666666666666665,4
158,only_none,389.0,150,1,6,2.6666666666666665,4
159,only_none,586.0,130,0,5,2.8333333333333335,2
160,only_none,458.0,130,0,10,3.5,4
161,only_none,591.0,150,0,7,3.5,4
162,only_none,468.0,190,1,8,3.9166666666666665,4
163,only_none,405.0,160,2,9,3.3333333333333335,5
164,only_none,545.0,140,1,6,3.0,4
165,only_none,480.0,150,0,6,3.5833333333333335,3
166,only_none,502.0,130,3,9,3.8333333333333335,4
167,only_none,630.0,200,1,10,4.0,2
168,only_none,470.0,140,1,7,3.0,3
169,only_none,488.0,150,1,4,2.9166666666666665,3
170,only_none,520.0,120,0,10,3.6666666666666665,4
171,only_none,528.0,130,2,5,2.8333333333333335,4
172,only_none,346.0,160,1,10,3.75,3
173,only_none,427.0,130,0,5,3.9166666666666665,4
