,ProactivityStrategy,#Duration,#Points,#HelpRequest,#SuggestionRequest,mean_Trust,last_Trust
0,only_none,621.0,110,2,7,3.75,4
1,only_none,433.0,170,0,10,3.8333333333333335,4
2,only_none,506.0,170,1,6,3.5833333333333335,4
3,only_none,463.0,150,0,9,2.4166666666666665,4
4,only_none,446.0,130,0,6,2.6666666666666665,2
5,only_none,542.0,140,2,5,2.9166666666666665,3
6,only_none,497.0,120,0,4,3.0,3
7,only_none,394.0,120,1,7,3.3333333333333335,4
8,only_none,443.0,130,4,7,3.25,3
9,only_none,458.0,140,1,5,3.4166666666666665,4
10,only_none,562.0,150,0,5,3.5,3
11,only_none,491.0,130,3,3,3.1666666666666665,3
12,only_none,481.0,140,2,6,3.0,4
13,only_none,451.0,170,0,6,3.1666666666666665,3
14,only_none,460.0,170,0,7,2.8333333333333335,3
15,only_none,384.0,120,0,10,3.8333333333333335,4
16,only_none,462.0,180,1,9,3.0,4
17,only_none,421.0,100,1,7,3.0,3
18,only_none,570.0,170,1,7,3.9166666666666665,4
19,only_none,636.0,110,0,5,2.3333333333333335,2
20,only_none,374.0,120,1,7,3.4166666666666665,3
21,only_none,454.0,180,0,6,3.5833333333333335,2
22,only_none,441.0,160,2,10,3.6666666666666665,4
23,only_none,464.0,170,2,8,3.3333333333333335,4
24,only_none,500.0,130,0,5,3.0,3
25,only_none,422.0,120,3,6,3.1666666666666665,3
26,only_none,409.0,140,2,8,3.75,3
27,only_none,411.0,100,0,5,3.0,3
28,only_none,539.0,140,2,4,2.4166666666666665,2
29,only_none,416.0,140,0,8,3.6666666666666665,4
30,only_none,622.0,150,1,7,2.0,2
31,only_none,494.0,150,1,9,3.1666666666666665,3
32,only_none,504.0,180,2,5,3.0,3
33,only_none,486.0,170,2,11,3.75,4
34,only_none,611.0,170,1,8,3.3333333333333335,4
35,only_none,409.0,180,0,10,4.0,4
36,only_none,432.0,110,1,7,2.5833333333333335,3
37,only_none,530.0,180,0,9,3.3333333333333335,4
38,only_none,564.0,120,0,5,2.5,3
39,only_none,500.0,150,1,6,3.4166666666666665,4
40,only_none,586.0,170,0,10,3.75,4
41,only_none,491.0,150,0,7,3.0,3
42,only_none,583.0,130,0,2,3.0833333333333335,3
43,only_none,549.0,160,1,7,2.5,2
44,only_none,463.0,140,1,8,3.9166666666666665,4
45,only_none,447.0,150,0,8,2.8333333333333335,3
46,only_none,456.0,170,0,9,4.833333333333333,5
47,only_none,501.0,180,1,10,3.4166666666666665,3
48,only_none,559.0,100,1,4,3.25,2
49,only_none,482.0,100,3,10,2.75,2
50,only_none,504.0,150,2,4,2.5,3
51,only_none,479.0,130,0,6,3.3333333333333335,4
52,only_none,763.0,160,0,8,3.3333333333333335,4
53,only_none,545.0,180,2,7,3.5,4
54,only_none,620.0,140,0,9,3.25,4
55,only_none,474.0,170,0,4,3.3333333333333335,2
56,only_none,468.0,160,1,7,2.75,2
57,only_none,445.0,170,0,8,3.9166666666666665,4
58,only_none,451.0,130,0,5,3.4166666666666665,3
59,only_none,462.0,130,0,10,3.8333333333333335,3
60,only_none,529.0,120,0,8,3.0833333333333335,3
