,ProactivityStrategy,#Duration,#Points,#HelpRequest,#SuggestionRequest,mean_Trust,last_Trust
0,only_none,628.0,140,2,8,2.4166666666666665,3
1,only_none,459.0,180,1,7,3.75,4
2,only_none,580.0,160,1,7,4.0,4
3,only_none,479.0,150,0,6,3.1666666666666665,3
4,only_none,689.0,140,0,6,2.9166666666666665,2
5,only_none,458.0,170,1,8,3.5833333333333335,4
6,only_none,650.0,170,1,7,2.0,2
7,only_none,467.0,170,1,11,4.0,4
8,only_none,493.0,170,1,9,4.75,5
9,only_none,479.0,180,3,6,2.9166666666666665,2
10,only_none,472.0,160,1,6,3.6666666666666665,3
11,only_none,408.0,170,0,9,2.5,2
12,only_none,403.0,160,1,7,2.9166666666666665,3
13,only_none,599.0,120,0,5,3.75,3
14,only_none,480.0,180,1,8,4.0,4
15,only_none,391.0,130,2,7,3.0833333333333335,3
16,only_none,547.0,170,0,9,3.0833333333333335,3
17,only_none,457.0,170,1,9,2.8333333333333335,3
18,only_none,475.0,140,1,7,3.0833333333333335,3
19,only_none,590.0,130,1,7,3.4166666666666665,2
20,only_none,441.0,120,0,5,3.0833333333333335,3
21,only_none,577.0,160,1,6,2.9166666666666665,4
22,only_none,439.0,160,2,9,2.3333333333333335,2
23,only_none,653.0,160,1,7,3.5,3
24,only_none,467.0,130,2,8,3.5833333333333335,3
25,only_none,513.0,130,2,9,3.3333333333333335,4
26,only_none,651.0,130,0,6,2.9166666666666665,2
27,only_none,559.0,170,1,6,2.4166666666666665,4
28,only_none,443.0,160,0,8,3.5,3
29,only_none,509.0,140,2,9,3.6666666666666665,4
30,only_none,449.0,140,0,8,3.5833333333333335,4
31,only_none,546.0,120,1,10,2.5,3
32,only_none,479.0,150,1,6,3.4166666666666665,3
33,only_none,527.0,160,1,8,3.6666666666666665,4
34,only_none,450.0,150,2,5,2.5833333333333335,2
35,only_none,551.0,160,1,9,3.9166666666666665,4
36,only_none,586.0,170,1,7,3.5833333333333335,3
37,only_none,645.0,130,1,7,2.9166666666666665,3
38,only_none,464.0,140,2,7,3.5833333333333335,4
39,only_none,481.0,160,0,9,3.4166666666666665,4
40,only_none,413.0,130,2,9,3.3333333333333335,3
41,only_none,467.0,140,0,5,3.0,3
42,only_none,467.0,180,0,10,3.9166666666666665,4
43,only_none,584.0,140,2,6,3.3333333333333335,3
44,only_none,410.0,140,2,10,3.9166666666666665,4
45,only_none,435.0,150,1,5,2.9166666666666665,3
46,only_none,559.0,140,0,8,2.4166666666666665,3
47,only_none,474.0,130,0,8,3.0,4
48,only_none,445.0,140,2,5,2.9166666666666665,3
49,only_none,530.0,120,1,6,2.6666666666666665,3
50,only_none,456.0,130,0,8,3.3333333333333335,3
51,only_none,481.0,160,0,9,3.0,4
