,ProactivityStrategy,#Duration,#Points,#HelpRequest,#SuggestionRequest,mean_Trust,last_Trust
98,Strategy_machine_learning,429.0,190,0,3,3.1666666666666665,4
99,Strategy_machine_learning,463.0,180,1,4,3.8333333333333335,4
100,Strategy_machine_learning,387.0,180,0,3,4.0,4
101,Strategy_machine_learning,468.0,180,0,2,3.0833333333333335,3
102,Strategy_machine_learning,435.0,200,1,3,2.9166666666666665,2
103,Strategy_machine_learning,505.0,200,0,5,2.6666666666666665,2
104,Strategy_machine_learning,520.0,180,0,4,2.0,2
105,Strategy_machine_learning,490.0,170,1,2,2.0,2
106,Strategy_machine_learning,390.0,190,1,4,3.25,3
107,Strategy_machine_learning,415.0,170,0,5,2.6666666666666665,2
108,Strategy_machine_learning,374.0,160,0,1,2.8333333333333335,3
109,Strategy_machine_learning,518.0,180,0,4,2.75,3
110,Strategy_machine_learning,417.0,180,1,3,2.5833333333333335,2
111,Strategy_machine_learning,419.0,180,0,5,4.0,4
112,Strategy_machine_learning,496.0,190,1,3,2.4166666666666665,2
113,Strategy_machine_learning,431.0,170,0,2,2.6666666666666665,2
114,Strategy_machine_learning,531.0,170,0,3,2.75,2
115,Strategy_machine_learning,440.0,180,0,3,3.6666666666666665,4
116,Strategy_machine_learning,445.0,180,0,4,2.0833333333333335,2
117,Strategy_machine_learning,424.0,170,0,3,2.9166666666666665,4
118,Strategy_machine_learning,468.0,170,0,2,2.0833333333333335,2
119,Strategy_machine_learning,457.0,180,0,3,3.5833333333333335,4
120,Strategy_machine_learning,519.0,180,0,2,2.0833333333333335,2
121,Strategy_machine_learning,409.0,190,0,3,3.8333333333333335,4
122,Strategy_machine_learning,408.0,170,0,4,2.5,3
123,Strategy_machine_learning,393.0,180,0,4,3.0,4
124,Strategy_machine_learning,410.0,150,1,3,4.0,4
125,Strategy_machine_learning,399.0,160,0,1,3.75,4
126,Strategy_machine_learning,378.0,150,1,2,4.0,5
127,Strategy_machine_learning,433.0,190,0,4,2.3333333333333335,2
128,Strategy_machine_learning,474.0,190,0,1,3.0,4
129,Strategy_machine_learning,415.0,190,0,3,3.25,4
130,Strategy_machine_learning,474.0,180,0,1,2.0833333333333335,2
131,Strategy_machine_learning,399.0,190,1,4,3.1666666666666665,2
132,Strategy_machine_learning,555.0,170,0,3,2.5,2
133,Strategy_machine_learning,439.0,180,1,2,3.25,3
134,Strategy_machine_learning,484.0,190,0,2,2.3333333333333335,2
135,Strategy_machine_learning,445.0,160,0,3,3.0833333333333335,2
136,Strategy_machine_learning,369.0,170,1,3,3.3333333333333335,4
137,Strategy_machine_learning,446.0,170,1,3,2.5833333333333335,2
138,Strategy_machine_learning,473.0,170,0,2,2.25,2
139,Strategy_machine_learning,447.0,160,0,3,2.25,2
140,Strategy_machine_learning,435.0,150,0,2,2.3333333333333335,2
141,Strategy_machine_learning,411.0,200,0,4,3.1666666666666665,2
142,Strategy_machine_learning,436.0,160,0,2,2.3333333333333335,2
143,Strategy_machine_learning,497.0,160,1,3,2.75,3
144,Strategy_machine_learning,404.0,160,0,3,2.0,2
145,Strategy_machine_learning,474.0,170,0,1,2.0,2
146,Strategy_machine_learning,504.0,200,1,2,3.0833333333333335,3
147,Strategy_machine_learning,439.0,180,0,2,2.6666666666666665,3
148,Strategy_machine_learning,421.0,180,1,3,2.9166666666666665,3
149,Strategy_machine_learning,401.0,180,0,2,3.5,4
150,Strategy_machine_learning,424.0,150,0,2,2.9166666666666665,3
151,Strategy_machine_learning,413.0,150,0,4,2.5833333333333335,2
152,Strategy_machine_learning,452.0,160,1,1,2.8333333333333335,2
153,Strategy_machine_learning,457.0,190,0,2,2.9166666666666665,3
154,Strategy_machine_learning,378.0,190,0,3,3.0,3
155,Strategy_machine_learning,460.0,170,0,3,3.8333333333333335,4
156,Strategy_machine_learning,385.0,190,0,3,3.5,4
157,Strategy_machine_learning,519.0,180,1,4,3.5,4
158,Strategy_machine_learning,421.0,200,0,6,2.8333333333333335,3
159,Strategy_machine_learning,441.0,180,1,3,3.0,3
160,Strategy_machine_learning,491.0,180,0,2,2.25,2
161,Strategy_machine_learning,520.0,180,0,5,2.0833333333333335,2
162,Strategy_machine_learning,535.0,200,0,3,3.1666666666666665,4
163,Strategy_machine_learning,380.0,170,0,2,2.8333333333333335,2
164,Strategy_machine_learning,436.0,160,1,2,3.0833333333333335,2
165,Strategy_machine_learning,508.0,170,1,1,2.25,2
166,Strategy_machine_learning,520.0,180,0,3,2.0833333333333335,2
167,Strategy_machine_learning,451.0,180,0,2,2.0833333333333335,2
168,Strategy_machine_learning,420.0,180,2,3,3.0833333333333335,3
169,Strategy_machine_learning,473.0,160,0,4,3.1666666666666665,2
170,Strategy_machine_learning,384.0,160,1,2,3.5,4
171,Strategy_machine_learning,372.0,170,0,1,2.75,4
172,Strategy_machine_learning,462.0,180,0,1,2.4166666666666665,2
173,Strategy_machine_learning,421.0,150,1,3,2.3333333333333335,2
174,Strategy_machine_learning,381.0,180,0,4,2.6666666666666665,2
175,Strategy_machine_learning,495.0,180,0,4,3.5833333333333335,4
176,Strategy_machine_learning,386.0,180,0,5,3.5,4
177,Strategy_machine_learning,438.0,160,0,3,2.4166666666666665,2
178,Strategy_machine_learning,410.0,170,0,3,2.9166666666666665,2
179,Strategy_machine_learning,458.0,200,0,2,2.0,2
180,Strategy_machine_learning,369.0,140,0,2,4.0,4
181,Strategy_machine_learning,520.0,180,0,3,3.0,2
182,Strategy_machine_learning,420.0,160,0,4,3.5,4
183,Strategy_machine_learning,440.0,140,0,2,2.3333333333333335,2
184,Strategy_machine_learning,383.0,160,1,3,3.5,2
185,Strategy_machine_learning,431.0,180,0,3,2.9166666666666665,3
186,Strategy_machine_learning,555.0,160,1,4,2.4166666666666665,2
187,Strategy_machine_learning,417.0,190,0,2,3.0,2
188,Strategy_machine_learning,381.0,190,0,3,3.4166666666666665,4
189,Strategy_machine_learning,424.0,160,0,4,2.3333333333333335,2
190,Strategy_machine_learning,405.0,190,0,4,3.5,4
191,Strategy_machine_learning,458.0,200,3,2,3.9166666666666665,4
192,Strategy_machine_learning,459.0,160,1,1,2.4166666666666665,4
193,Strategy_machine_learning,466.0,150,0,3,2.1666666666666665,2
194,Strategy_machine_learning,397.0,160,1,4,3.4166666666666665,4
195,Strategy_machine_learning,406.0,180,0,1,3.6666666666666665,4
196,Strategy_machine_learning,443.0,180,0,4,3.3333333333333335,3
197,Strategy_machine_learning,454.0,170,1,3,2.75,4
198,Strategy_machine_learning,545.0,180,0,3,2.8333333333333335,4
199,Strategy_machine_learning,517.0,180,0,3,2.9166666666666665,2
200,Strategy_machine_learning,522.0,170,0,3,2.0,2
201,Strategy_machine_learning,510.0,180,0,4,3.6666666666666665,4
202,Strategy_machine_learning,431.0,170,1,4,2.9166666666666665,4
203,Strategy_machine_learning,453.0,170,1,3,3.8333333333333335,4
204,Strategy_machine_learning,405.0,180,0,3,2.6666666666666665,2
205,Strategy_machine_learning,396.0,170,1,4,2.8333333333333335,3
206,Strategy_machine_learning,493.0,130,0,3,2.6666666666666665,2
207,Strategy_machine_learning,471.0,180,0,2,3.25,3
208,Strategy_machine_learning,491.0,200,0,4,2.75,3
209,Strategy_machine_learning,396.0,190,2,4,3.6666666666666665,2
210,Strategy_machine_learning,467.0,170,1,2,2.25,2
211,Strategy_machine_learning,502.0,180,0,1,2.0833333333333335,2
212,Strategy_machine_learning,446.0,150,1,2,2.75,3
213,Strategy_machine_learning,436.0,200,0,4,2.3333333333333335,2
214,Strategy_machine_learning,417.0,170,0,3,2.3333333333333335,2
215,Strategy_machine_learning,500.0,190,0,4,2.25,2
216,Strategy_machine_learning,485.0,200,0,4,2.4166666666666665,2
217,Strategy_machine_learning,525.0,190,1,3,3.9166666666666665,4
218,Strategy_machine_learning,582.0,170,0,3,2.4166666666666665,2
219,Strategy_machine_learning,460.0,190,0,5,3.3333333333333335,4
220,Strategy_machine_learning,547.0,170,1,4,3.0,2
221,Strategy_machine_learning,429.0,160,1,2,2.4166666666666665,2
222,Strategy_machine_learning,359.0,150,1,3,3.3333333333333335,4
223,Strategy_machine_learning,477.0,190,0,3,2.4166666666666665,2
224,Strategy_machine_learning,450.0,180,2,3,3.5833333333333335,4
225,Strategy_machine_learning,359.0,200,0,4,3.3333333333333335,4
226,Strategy_machine_learning,460.0,150,0,2,2.6666666666666665,2
227,Strategy_machine_learning,418.0,180,0,4,4.416666666666667,4
228,Strategy_machine_learning,437.0,180,2,4,3.4166666666666665,4
229,Strategy_machine_learning,453.0,180,1,2,2.3333333333333335,2
230,Strategy_machine_learning,546.0,170,1,3,2.25,2
231,Strategy_machine_learning,388.0,190,0,2,3.1666666666666665,2
