,ProactivityStrategy,#Duration,#Points,#HelpRequest,#SuggestionRequest,mean_Trust,last_Trust
0,only_none,398.0,170,1,7,2.8333333333333335,2
1,only_none,554.0,150,1,9,3.4166666666666665,2
2,only_none,533.0,120,1,8,4.0,4
3,only_none,474.0,150,1,10,2.8333333333333335,3
4,only_none,441.0,140,1,8,3.25,3
5,only_none,496.0,180,1,8,3.5,3
6,only_none,538.0,180,0,10,2.9166666666666665,3
7,only_none,490.0,150,2,4,3.5833333333333335,4
8,only_none,481.0,110,1,8,3.0833333333333335,4
9,only_none,458.0,120,2,9,3.9166666666666665,4
10,only_none,417.0,130,2,9,2.75,2
11,only_none,556.0,180,2,6,2.0,2
12,only_none,455.0,160,0,6,3.5833333333333335,4
13,only_none,433.0,170,1,10,3.8333333333333335,4
14,only_none,561.0,130,0,6,2.75,3
15,only_none,458.0,160,1,10,3.8333333333333335,4
16,only_none,468.0,130,0,7,3.75,4
17,only_none,541.0,170,0,8,2.5833333333333335,2
18,only_none,621.0,150,2,10,3.5,4
19,only_none,448.0,170,0,9,3.3333333333333335,4
20,only_none,369.0,160,1,7,2.8333333333333335,2
21,only_none,393.0,150,0,8,3.9166666666666665,4
22,only_none,593.0,170,1,6,3.5,3
23,only_none,546.0,170,1,8,2.75,3
24,only_none,465.0,120,0,8,3.0,3
25,only_none,506.0,150,0,9,3.3333333333333335,3
26,only_none,428.0,120,1,7,2.8333333333333335,3
27,only_none,431.0,130,0,5,2.25,2
28,only_none,520.0,100,0,7,2.1666666666666665,2
29,only_none,413.0,160,1,6,3.0833333333333335,3
30,only_none,555.0,140,0,6,2.5833333333333335,2
31,only_none,468.0,150,0,6,3.9166666666666665,3
32,only_none,594.0,110,0,8,3.75,4
33,only_none,453.0,120,1,6,3.1666666666666665,3
34,only_none,633.0,170,0,6,3.0833333333333335,3
35,only_none,609.0,140,0,9,2.8333333333333335,3
36,only_none,496.0,170,0,10,3.5833333333333335,4
37,only_none,387.0,110,3,8,2.75,3
38,only_none,400.0,160,0,6,3.6666666666666665,4
39,only_none,553.0,170,0,9,2.6666666666666665,3
40,only_none,490.0,160,1,5,2.9166666666666665,3
41,only_none,405.0,170,0,11,3.8333333333333335,4
42,only_none,539.0,170,0,10,3.0833333333333335,4
43,only_none,513.0,150,0,6,2.9166666666666665,3
44,only_none,440.0,170,2,8,3.4166666666666665,4
45,only_none,558.0,150,1,5,2.5833333333333335,2
46,only_none,446.0,180,3,11,3.75,4
47,only_none,466.0,130,1,8,3.6666666666666665,4
48,only_none,433.0,170,0,7,3.75,3
49,only_none,447.0,140,2,8,3.5833333333333335,4
50,only_none,465.0,120,2,8,3.1666666666666665,3
51,only_none,542.0,160,0,9,3.25,5
52,only_none,474.0,170,0,9,2.0,2
53,only_none,489.0,160,1,8,3.0,3
54,only_none,458.0,170,0,7,3.0,3
55,only_none,479.0,170,0,5,3.1666666666666665,4
56,only_none,474.0,130,0,8,3.0,3
57,only_none,569.0,110,0,7,3.5833333333333335,4
58,only_none,541.0,120,0,9,2.3333333333333335,2
59,only_none,444.0,140,1,6,3.0,3
60,only_none,479.0,160,0,10,4.0,4
61,only_none,475.0,150,0,7,3.9166666666666665,4
62,only_none,530.0,160,0,7,3.4166666666666665,4
63,only_none,472.0,160,0,6,2.75,2
64,only_none,608.0,160,0,9,3.5833333333333335,4
65,only_none,750.0,160,0,7,3.5833333333333335,4
66,only_none,461.0,140,2,7,2.75,3
67,only_none,454.0,170,0,8,3.75,4
68,only_none,516.0,150,4,5,2.6666666666666665,3
69,only_none,501.0,120,2,8,3.0,3
70,only_none,592.0,160,1,7,3.6666666666666665,4
71,only_none,505.0,210,1,4,2.9166666666666665,3
72,only_none,530.0,150,0,6,3.0,3
73,only_none,592.0,110,1,7,2.8333333333333335,3
74,only_none,570.0,140,0,9,3.3333333333333335,4
75,only_none,428.0,140,0,9,3.8333333333333335,4
76,only_none,459.0,130,0,7,3.0,3
77,only_none,460.0,170,1,6,3.75,5
78,only_none,569.0,140,1,6,3.0833333333333335,2
79,only_none,545.0,180,0,8,3.5833333333333335,4
80,only_none,565.0,150,2,7,3.0,4
81,only_none,467.0,150,0,6,3.0,3
82,only_none,521.0,130,1,5,2.0,2
83,only_none,491.0,120,2,5,2.25,2
84,only_none,415.0,100,1,7,3.0,3
85,only_none,538.0,120,2,6,3.1666666666666665,3
86,only_none,458.0,140,1,6,3.75,4
87,only_none,481.0,180,1,9,3.6666666666666665,4
88,only_none,483.0,170,2,10,3.3333333333333335,4
89,only_none,705.0,110,0,4,2.1666666666666665,2
90,only_none,452.0,110,1,7,2.75,2
91,only_none,389.0,130,1,5,3.5,4
92,only_none,606.0,110,0,8,2.75,3
93,only_none,473.0,160,0,8,3.3333333333333335,4
94,only_none,596.0,150,0,6,3.25,3
95,only_none,720.0,150,0,5,2.8333333333333335,3
96,only_none,496.0,150,0,8,2.9166666666666665,3
97,only_none,620.0,150,1,4,2.5,3
98,only_none,485.0,140,2,9,2.5833333333333335,2
99,only_none,510.0,120,0,6,3.1666666666666665,2
100,only_none,552.0,170,1,6,2.8333333333333335,3
101,only_none,438.0,130,0,6,3.0833333333333335,3
102,only_none,645.0,160,0,8,2.6666666666666665,3
103,only_none,451.0,160,2,11,3.5,3
104,only_none,429.0,140,1,9,4.0,4
105,only_none,456.0,160,0,7,3.5,4
106,only_none,638.0,170,0,8,3.0,3
107,only_none,439.0,160,0,8,3.5,4
108,only_none,480.0,100,1,9,3.0833333333333335,3
109,only_none,486.0,150,1,9,3.1666666666666665,3
110,only_none,748.0,170,1,7,2.9166666666666665,3
111,only_none,517.0,150,1,6,3.1666666666666665,3
112,only_none,470.0,130,0,7,2.25,2
113,only_none,699.0,180,1,8,3.5833333333333335,3
114,only_none,488.0,150,1,8,2.5833333333333335,2
115,only_none,670.0,160,0,8,3.0833333333333335,4
116,only_none,507.0,170,2,10,2.0,2
117,only_none,542.0,120,1,9,3.0,3
118,only_none,566.0,120,1,7,2.75,2
119,only_none,436.0,120,0,10,3.3333333333333335,3
120,only_none,474.0,140,1,6,3.0,3
121,only_none,535.0,170,1,7,3.1666666666666665,4
