#{"t_start": 1642721969.426017, "env_id": null}
r,l,t
8.5,12,0.328078
13.0,12,0.500114
11.5,12,0.671976
8.0,12,0.937586
15.5,12,1.109444
14.5,12,1.312554
11.0,12,1.484597
18.0,12,1.656465
10.5,12,1.828326
5.5,12,2.015807
8.0,12,2.172044
14.0,12,2.359535
15.0,12,2.547207
14.5,12,2.765939
14.5,12,2.953426
6.5,12,3.125295
7.5,12,3.328398
8.0,12,3.531508
15.5,12,3.703375
15.5,12,3.906482
9.5,12,4.07835
10.5,12,4.281459
8.5,12,4.485013
11.5,12,4.656878
8.5,12,4.844365
14.5,12,5.047471
16.0,12,5.219332
12.0,12,5.375577
11.5,12,5.578822
9.5,12,5.797559
12.0,12,5.96942
8.0,12,6.172529
12.0,12,6.34439
12.0,12,6.531883
10.5,12,6.719362
10.5,12,6.906851
14.5,12,7.078718
14.0,12,7.281826
17.5,12,7.46961
15.0,12,7.625853
2.5,12,7.828963
10.5,12,17.767222
14.0,12,17.985955
6.0,12,18.204691
14.5,12,18.423425
12.5,12,18.657781
12.5,12,18.907766
10.0,12,19.17337
9.0,12,19.408278
4.0,12,19.61139
8.5,12,19.845748
1.5,12,20.09573
10.5,12,20.345714
9.5,12,20.533341
11.0,12,20.720825
15.5,12,20.955182
14.5,12,21.158293
7.0,12,21.455281
8.0,12,21.642771
10.0,12,21.892751
9.5,12,22.111486
13.5,12,22.298977
18.0,12,22.564579
8.5,12,22.798936
14.0,12,22.986426
13.5,12,23.189533
15.5,12,23.424186
10.0,12,23.721037
15.0,12,23.908524
17.5,12,24.111634
8.5,12,24.299122
0.5,12,24.486757
9.0,12,24.689866
15.0,12,24.892981
10.0,12,25.08046
13.5,12,25.346067
15.5,12,25.580421
11.0,12,25.783535
14.0,12,26.002265
6.5,12,26.205379
5.0,12,26.440051
6.0,12,26.627536
13.5,12,26.846269
8.5,12,41.330417
13.5,12,41.517903
7.5,12,41.736639
12.0,12,41.908506
7.5,12,42.095987
10.5,12,42.299094
13.5,12,42.518126
15.5,12,42.736856
17.5,12,42.955592
10.0,12,43.143075
14.0,12,43.346181
11.5,12,43.533832
14.5,12,43.736941
15.0,12,43.955675
10.0,12,44.143158
15.0,12,44.315022
10.5,12,44.533759
10.0,12,44.736868
10.0,12,44.955601
5.5,12,45.158708
13.0,12,45.346195
11.0,12,45.565238
17.5,12,45.752726
9.5,12,45.955841
12.5,12,46.143329
15.0,12,46.330811
6.0,12,46.518444
9.0,12,46.721557
7.5,12,46.909039
17.0,12,47.112147
11.5,12,47.330882
10.0,12,47.51854
13.0,12,47.706023
11.0,12,47.971647
15.5,12,48.221611
16.5,12,48.424723
14.5,12,48.61236
11.5,12,48.815471
7.0,12,49.034202
17.5,12,49.22169
17.5,12,49.424798
8.5,12,49.612444
6.5,12,59.405539
9.5,12,59.5933
7.5,12,59.796405
13.5,12,59.9839
8.0,12,60.187008
15.0,12,60.390116
13.5,12,60.593409
17.5,12,60.812146
9.5,12,61.015255
8.5,12,61.233989
11.0,12,61.421479
14.0,12,61.624727
8.0,12,61.843452
10.0,12,62.030942
14.5,12,62.234052
13.0,12,62.42154
16.5,12,62.624791
10.5,12,62.812274
12.5,12,63.031013
2.5,12,63.202877
14.5,12,63.405981
10.5,12,63.593631
15.5,12,63.796742
12.5,12,63.984227
11.5,12,64.171712
6.0,12,64.374823
5.0,12,64.578079
15.0,12,64.765568
7.0,12,64.968682
13.0,12,65.156168
7.0,12,65.343649
10.5,12,65.545464
14.0,12,65.748574
8.0,12,65.951678
9.0,12,66.154794
13.0,12,66.3579
12.0,12,66.561012
9.5,12,66.76412
5.0,12,66.967234
5.0,12,67.154721
6.5,12,67.357834
17.0,12,77.030665
5.5,12,77.233772
14.5,12,77.421259
13.0,12,77.608899
6.0,12,77.843251
10.0,12,78.046367
12.5,12,78.21823
9.0,12,78.421335
11.5,12,78.619007
15.5,12,78.822113
9.0,12,79.025225
6.5,12,79.197088
18.5,12,79.400195
15.0,12,79.681424
16.0,12,79.884533
7.0,12,80.072022
14.5,12,80.259506
17.5,12,80.446997
10.0,12,80.650348
11.5,12,80.869077
11.5,12,81.165933
6.5,12,81.337797
9.5,12,81.525416
6.0,12,81.728532
14.0,12,81.994134
5.5,12,82.197245
12.5,12,82.415979
16.5,12,82.603644
10.5,12,82.806748
10.5,12,82.994238
26.5,12,83.181726
7.0,12,83.384836
10.5,12,83.572531
12.0,12,83.76001
8.0,12,83.978748
10.0,12,84.166235
6.0,12,84.353719
