#{"t_start": 1642764905.8517535, "env_id": null}
r,l,t
14.25,12,0.390585
18.25,12,0.656183
9.5,12,0.999906
17.75,12,1.328004
14.0,12,1.59361
11.75,12,1.891423
16.75,12,2.188272
18.0,12,2.438253
14.5,12,2.735103
16.0,12,3.016334
19.0,12,3.297568
22.5,12,3.578797
14.5,12,3.846653
20.5,12,4.127889
15.25,12,4.424735
18.25,12,4.753044
13.0,12,5.096771
22.5,12,5.362379
8.0,12,5.65923
11.0,12,6.115311
11.75,12,6.39654
22.25,12,6.709019
20.75,12,6.990249
11.0,12,7.271476
19.25,12,7.53708
15.75,12,7.834305
15.0,12,8.099913
14.0,12,8.396764
18.5,12,8.662368
7.75,12,8.959224
24.0,12,9.224838
12.5,12,9.490442
14.0,12,9.819043
14.75,12,10.115903
16.5,12,10.381501
16.75,12,10.662733
17.75,12,10.959593
16.5,12,11.256438
18.75,12,11.568915
4.75,12,11.866144
21.0,12,12.225509
14.25,12,26.550275
11.75,12,26.879846
21.75,12,27.161747
17.25,12,27.479128
9.0,12,27.798574
9.75,12,28.110626
21.25,12,28.438193
17.25,12,28.76307
16.0,12,29.078849
15.25,12,29.379675
12.25,12,29.724381
19.5,12,30.049927
15.5,12,30.347085
18.5,12,30.672276
14.75,12,30.96334
18.75,12,31.268341
8.25,12,31.667691
16.25,12,31.972354
19.25,12,32.267297
16.75,12,32.562957
21.25,12,32.828565
12.5,12,33.127126
11.75,12,33.449245
11.5,12,33.740124
20.0,12,34.049559
17.0,12,34.319562
14.5,12,34.621601
9.0,12,34.915077
13.5,12,35.214267
15.5,12,35.497085
16.0,12,35.747826
14.75,12,36.09002
11.0,12,36.418731
11.5,12,36.733597
13.25,12,37.026436
18.5,12,37.301748
10.5,12,37.591847
14.25,12,37.865498
14.5,12,38.160857
16.0,12,38.436085
18.25,12,38.732942
17.75,12,39.030939
21.5,12,53.121394
13.0,12,53.443494
14.25,12,53.725441
12.75,12,54.006669
20.25,12,54.292001
18.25,12,54.631476
13.75,12,54.933944
11.5,12,55.247402
19.25,12,55.52258
17.25,12,55.819427
11.5,12,56.122923
18.75,12,56.425083
19.25,12,56.710565
18.5,12,57.030998
19.25,12,57.326532
16.25,12,57.648575
11.75,12,57.946859
13.0,12,58.202028
20.5,12,58.510142
13.0,12,58.775753
7.25,12,59.061903
12.5,12,59.369585
14.0,12,59.670975
15.0,12,59.936581
19.75,12,60.250397
14.75,12,60.509465
13.75,12,60.817036
11.0,12,61.123044
15.25,12,61.412511
14.75,12,61.680417
15.75,12,61.977279
10.0,12,62.275482
14.25,12,62.588553
12.5,12,62.964316
20.25,12,63.253513
19.25,12,63.526541
10.0,12,63.813333
13.25,12,64.111213
9.25,12,64.447857
20.25,12,64.729087
15.5,12,65.048174
19.5,12,65.360575
15.5,12,79.595863
9.5,12,79.892402
21.0,12,80.196208
13.0,12,80.50263
11.5,12,80.818059
12.5,12,81.102931
18.0,12,81.393693
19.5,12,81.659369
18.5,12,81.96392
18.25,12,82.244038
12.0,12,82.519248
15.75,12,82.800478
16.25,12,83.119549
12.0,12,83.417703
14.0,12,83.691596
14.5,12,84.006455
12.5,12,84.308331
14.75,12,84.568318
11.5,12,84.849552
17.25,12,85.152235
14.0,12,85.458211
13.5,12,85.72826
12.75,12,86.029593
13.5,12,86.292861
15.5,12,86.591671
14.5,12,86.888523
15.75,12,87.157201
15.5,12,87.444305
17.0,12,87.737613
12.0,12,88.029538
28.5,12,88.300811
15.75,12,88.584693
14.5,12,88.882923
22.0,12,89.169377
11.25,12,89.460217
18.75,12,89.762116
20.5,12,90.076184
11.5,12,90.357695
21.25,12,90.632555
16.25,12,90.952752
11.75,12,91.232868
19.75,12,105.684475
19.25,12,105.996945
12.25,12,106.279425
9.5,12,106.57691
19.5,12,106.876196
13.25,12,107.161597
15.75,12,107.4681
11.5,12,107.769816
10.75,12,108.068403
14.25,12,108.402386
18.5,12,108.687291
17.25,12,108.977623
15.75,12,109.25635
20.75,12,109.547186
15.75,12,109.828413
16.0,12,110.147462
15.0,12,110.438288
9.75,12,110.735143
19.75,12,111.038613
17.75,12,111.335473
14.25,12,111.739026
23.5,12,112.01574
14.0,12,112.304701
11.75,12,112.602004
6.5,12,112.89885
22.5,12,113.197452
12.25,12,113.502271
12.5,12,113.777949
22.75,12,114.086949
11.0,12,114.416902
25.25,12,114.720098
12.25,12,115.030206
17.25,12,115.301298
14.0,12,115.565768
10.5,12,115.865045
20.25,12,116.166057
7.75,12,116.441267
16.5,12,116.722502
16.0,12,117.02243
19.75,12,117.324494
15.0,12,117.613619
19.75,12,117.921345
9.75,12,132.727903
15.25,12,133.042696
14.0,12,133.320868
18.0,12,133.696627
19.25,12,134.01087
17.25,12,134.323967
10.75,12,134.637647
11.0,12,134.916183
6.75,12,135.26166
23.75,12,135.56582
17.0,12,135.894188
13.25,12,136.183505
22.0,12,136.507561
15.75,12,136.829103
22.0,12,137.134314
24.0,12,137.39739
12.5,12,137.694241
21.25,12,138.086106
15.0,12,138.419772
18.25,12,138.792701
12.0,12,139.165664
22.0,12,139.468811
21.5,12,139.833036
16.5,12,140.177485
19.75,12,140.51245
17.0,12,140.790226
15.75,12,141.126414
12.0,12,141.503779
25.0,12,141.864341
16.75,12,142.166429
19.5,12,142.453617
17.0,12,142.768826
5.75,12,143.1364
15.5,12,143.507172
17.5,12,143.821409
15.5,12,144.185099
12.25,12,144.537445
14.75,12,144.902743
20.25,12,145.192331
15.25,12,145.511945
17.25,12,145.818811
13.5,12,146.133559
12.25,12,161.043456
22.25,12,161.33832
24.5,12,161.619551
13.25,12,161.951138
13.0,12,162.205437
15.0,12,162.530547
15.0,12,162.844366
19.0,12,163.143441
14.25,12,163.425886
13.5,12,163.728125
17.0,12,164.042642
15.5,12,164.361379
19.0,12,164.632624
18.5,12,164.931889
18.25,12,165.191333
17.75,12,165.511296
10.5,12,165.791632
19.5,12,166.11369
22.5,12,166.410739
16.25,12,166.713982
15.0,12,167.015695
13.5,12,167.286053
22.75,12,167.583181
9.5,12,167.87093
16.25,12,168.178231
